question,answer,category,difficulty
What is Python?,Python is a high level programming language known for readability and versatility.,Python,Easy
What is a variable?,A variable is a container used to store data values.,Python,Easy
What are Python data types?,Common data types include int float string list tuple set and dictionary.,Python,Easy
What is a list?,A list is an ordered mutable collection of items.,Python,Easy
What is a tuple?,A tuple is an ordered immutable collection.,Python,Easy
What is a dictionary?,A dictionary stores key value pairs.,Python,Easy
What is a set?,A set is an unordered collection of unique elements.,Python,Easy
What is a function?,A function is a reusable block of code that performs a task.,Python,Easy
What is recursion?,Recursion occurs when a function calls itself.,Python,Medium
What is a lambda function?,A lambda function is an anonymous inline function.,Python,Medium
What is list comprehension?,List comprehension is a concise way to create lists.,Python,Medium
What is a decorator?,A decorator modifies a function's behavior without changing its code.,Python,Hard
What is the Python GIL?,The Global Interpreter Lock allows only one thread to execute Python bytecode at a time.,Python,Hard
What is exception handling?,Exception handling manages runtime errors using try except blocks.,Python,Easy
What is a class?,A class is a blueprint used to create objects.,Python,Easy
What is an object?,An object is an instance of a class.,Python,Easy
What is inheritance?,Inheritance allows a class to acquire properties from another class.,Python,Medium
What is polymorphism?,Polymorphism allows objects to take multiple forms.,Python,Medium
What is encapsulation?,Encapsulation hides internal object details.,Python,Medium
What is abstraction?,Abstraction shows essential features while hiding complexity.,Python,Medium

What is SQL?,SQL is a language used to manage relational databases.,SQL,Easy
What is a primary key?,A primary key uniquely identifies a row in a table.,SQL,Easy
What is a foreign key?,A foreign key links two tables.,SQL,Easy
What is normalization?,Normalization reduces redundancy in database tables.,SQL,Medium
What is a join?,A join combines rows from multiple tables.,SQL,Easy
What is inner join?,Inner join returns matching records from both tables.,SQL,Easy
What is left join?,Left join returns all rows from the left table and matches from the right.,SQL,Easy
What is indexing?,Indexing improves database query performance.,SQL,Medium
What is a transaction?,A transaction is a group of database operations executed together.,SQL,Medium
What is ACID?,ACID ensures reliability of database transactions.,SQL,Hard

What is machine learning?,Machine learning allows computers to learn patterns from data.,Machine Learning,Easy
What is supervised learning?,Supervised learning uses labeled training data.,Machine Learning,Easy
What is unsupervised learning?,Unsupervised learning finds patterns in unlabeled data.,Machine Learning,Easy
What is classification?,Classification predicts categorical labels.,Machine Learning,Easy
What is regression?,Regression predicts continuous values.,Machine Learning,Easy
What is clustering?,Clustering groups similar data points together.,Machine Learning,Easy
What is overfitting?,Overfitting occurs when a model learns training data too well.,Machine Learning,Medium
What is underfitting?,Underfitting occurs when a model fails to capture patterns.,Machine Learning,Medium
What is cross validation?,Cross validation evaluates model performance using multiple splits.,Machine Learning,Medium
What is gradient descent?,Gradient descent optimizes model parameters by minimizing loss.,Machine Learning,Hard
What is a neural network?,A neural network is a model inspired by the human brain.,Machine Learning,Medium
What is deep learning?,Deep learning uses neural networks with many layers.,Machine Learning,Medium
What is feature engineering?,Feature engineering creates useful input variables.,Machine Learning,Medium
What is a loss function?,A loss function measures prediction error.,Machine Learning,Medium
What is a confusion matrix?,A confusion matrix evaluates classification models.,Machine Learning,Medium

What is Git?,Git is a distributed version control system.,DevOps,Easy
What is a repository?,A repository stores project files and version history.,DevOps,Easy
What is a commit?,A commit records code changes.,DevOps,Easy
What is branching?,Branching allows parallel development.,DevOps,Easy
What is merging?,Merging combines branches together.,DevOps,Easy
What is CI CD?,CI CD stands for continuous integration and continuous deployment.,DevOps,Medium
What is Docker?,Docker is a platform for containerizing applications.,DevOps,Medium
What is Kubernetes?,Kubernetes manages containerized applications.,DevOps,Hard
What is load balancing?,Load balancing distributes traffic across servers.,DevOps,Medium
What is cloud computing?,Cloud computing delivers computing services over the internet.,DevOps,Easy
